"SID","SName","SCity","Address","Risk"
563,Палекс              ,Москва              ,Лесопарковая 49                                   ,1
570,"ООО ""Эльтадор-М""    ",Омск                ,Лунная 15                                         ,3
580,"ООО ""Слог""          ",Тольятти            ,Марченко 34                                       ,3
590,"ООО ""МТА""           ",Новосибирск         ,Новороссийская 34                                 ,2
598,"ООО ""Эльтадор-М""    ",Уфа                 ,Общественная 24                                   ,2
610,Феникс              ,Иркутск             ,Павлоградская 4                                   ,1
620,ИП Карачаров В.В.   ,Омск                ,Победы 17                                         ,1
629,Зет-Стоун           ,Краснодар           ,Родькина 24                                       ,3
639,Райдос              ,Санкт-Петербург     ,Светлая 20                                        ,1
649,Мегаком             ,Волгоград           ,Сеченова 29                                       ,2
661,"ООО ""ИРБИС-ВЕНТ""    ",Владивосток         ,Сталелитейная 12                                  ,3
672,"ГК ""Эталон""         ",Ростов-на-Дону      ,Толстого 23                                       ,3
681,ИП Лебедева И.С.    ,Ижевск              ,Турбинная 45                                      ,2
690,Мотэк-99            ,Новосибирск         ,Ульяновский 18                                    ,2
700,"ГК ""Эталон""         ",Пермь               ,Халтурина 24                                      ,2
711,"ООО ""Самоходов""     ",Владивосток         ,Центральная 17                                    ,1
721,e-Volt              ,Челябинск           ,Челябэнерго 45                                    ,3
731,Палекс              ,Ижевск              ,Шевченко 11                                       ,1
741,Зет-Стоун           ,Екатеринбург        ,Шуменская 50                                      ,2
754,СлавКабель          ,Краснодар           ,Якорная 3                                         ,2
766,"ООО ""Эльтадор-М""    ",Екатеринбург        ,Андижанская 40                                    ,1
270,Мотэк-99            ,Омск                ,Люблинская 31                                     ,1
280,"ГК ""Эталон""         ",Тольятти            ,Монакова 18                                       ,2
293,Зет-Стоун           ,Самара              ,Обский 14                                         ,3
303,Райдос              ,Саратов             ,Отдыха 20                                         ,2
313,Мегаком             ,Москва              ,Партизанская 14                                   ,2
322,Синапсис            ,Ростов-на-Дону      ,Пушкина 46                                        ,2
333,ВАЛСИ               ,Ульяновск           ,Ряжская 3                                         ,2
341,Мегаком             ,Екатеринбург        ,Северная 24                                       ,3
352,"ООО ""ВиК-инжиниринг""",Воронеж             ,Смолеозерная 5                                    ,1
362,СлавКабель          ,Ярославль           ,Танкистов 1                                       ,3
373,ИП Лебедева И.С.    ,Уфа                 ,Троицкое 35                                       ,2
382,Мотэк-99            ,Барнаул             ,Туруханская 40                                    ,2
393,Кварц               ,Самара              ,Ушакова 13                                        ,1
401,ИП Лебедева И.С.    ,Красноярск          ,Хлебозаводская 11                                 ,3
411,"ООО ""Сварожич""      ",Владивосток         ,Циолковского 15                                   ,3
421,Кварц               ,Челябинск           ,Чехова 23                                         ,3
431,"ООО ""Самоходов""     ",Ижевск              ,Шестая 25                                         ,1
442,Феникс              ,Новгород            ,Энергетиков 33                                    ,2
452,ИП Карачаров В.В.   ,Воронеж             ,Якутская 31                                       ,1
461,Зет-Стоун           ,Владивосток         ,Анапский 5                                        ,2
472,Viva                ,Ростов-на-Дону      ,Барановическая 8                                  ,3
480,Палекс              ,Краснодар           ,Варненская 35                                     ,2
488,Русинтек            ,Москва              ,Выборгская 34                                     ,2
500,Viva                ,Пермь               ,Грозненская 4                                     ,3
511,ИП Кахраманов Э.Б.  ,Владивосток         ,Железноводская 7                                  ,1
518,Синапсис            ,Самара              ,Заболотная 36                                     ,1
528,Viva                ,Саратов             ,Ильича 43                                         ,2
538,"ООО ""Петрикофф""     ",Москва              ,Карпенко 40                                       ,2
549,"ООО ""ИРБИС-ВЕНТ""    ",Волгоград           ,Котина 24                                         ,1
559,"ООО ""Абсолют""       ",Тюмень              ,Краснофлотская 14                                 ,2
566,"ООО ""Петрикофф""     ",Екатеринбург        ,Литовская 36                                      ,3
576,"ООО ""ВиК-инжиниринг""",Красноярск          ,Макарова 48                                       ,2
588,"ГК ""Эталон""         ",Москва              ,Национальная 5                                    ,2
608,"ООО ""Слог""          ",Ульяновск           ,Павелецкая 48                                     ,1
618,"ООО ""МТА""           ",Самара              ,Пекинская 35                                      ,1
628,Русинтек            ,Саратов             ,Радистов 22                                       ,1
637,e-Volt              ,Ярославль           ,Садовая 28                                        ,3
646,"ООО ""МТА""           ",Челябинск           ,Серафимовича 18                                   ,1
655,"ООО ""Самоходов""     ",Тольятти            ,Смолеозерная 34                                   ,3
668,Viva                ,Самара              ,Тепличная 2                                       ,3
676,ИП Карачаров В.В.   ,Красноярск          ,Троицкое 43                                       ,2
685,Зет-Стоун           ,Иркутск             ,Туруханская 45                                    ,3
696,Viva                ,Челябинск           ,Ушакова 46                                        ,3
706,"ООО ""Петрикофф""     ",Ижевск              ,Хрустальная 47                                    ,3
715,Янус                ,Новосибирск         ,Чайковского 32                                    ,2
725,ВАЛСИ               ,Пермь               ,Чистопольская 33                                  ,2
735,ИП Кахраманов Э.Б.  ,Иркутск             ,Широкая 38                                        ,2
746,Мотэк-99            ,Челябинск           ,Энтузиастов 21                                    ,1
755,"ООО ""Абсолют""       ",Тольятти            ,Якутская 5                                        ,3
763,ИП Кахраманов Э.Б.  ,Москва              ,Агаповская 33                                     ,2
773,"ООО ""ИРБИС-ВЕНТ""    ",Уфа                 ,Бажова 46                                         ,2
780,Viva                ,Тольятти            ,Валдайская 19                                     ,2
8,"ГК ""ФизТех""         ",Ульяновск           ,Паровозная 29                                     ,2
16,"ООО ""ВиК-инжиниринг""",Екатеринбург        ,Пулковская 3                                      ,2
28,"ГК ""Эталон""         ",Саратов             ,Рылеева 13                                        ,1
39,"ООО ""Самоходов""     ",Санкт-Петербург     ,Седовцев 46                                       ,2
47,"ООО ""Сварожич""      ",Ростов-на-Дону      ,Славянская 46                                     ,1
56,"ГК ""Эталон""         ",Ижевск              ,Станиславского 24                                 ,2
66,"ООО ""Эльтадор-М""    ",Екатеринбург        ,Толстого 17                                       ,3
76,"ООО ""Слог""          ",Красноярск          ,Тургенева 24                                      ,1
86,"ООО ""МТА""           ",Владивосток         ,Уральская 47                                      ,2
95,"ООО ""Самоходов""     ",Омск                ,Харлова 29                                        ,1
104,"ООО ""Слог""          ",Краснодар           ,Цвиллинга 23                                      ,3
114,"ООО ""МТА""           ",Санкт-Петербург     ,Челябинского Рабочего 16                          ,1
125,Зет-Стоун           ,Пермь               ,Шевченко 18                                       ,1
135,Райдос              ,Иркутск             ,Шуменская 13                                      ,2
145,Мегаком             ,Омск                ,Южноуральская 39                                  ,1
154,Синапсис            ,Краснодар           ,Автомобильная 12                                  ,3
164,Viva                ,Санкт-Петербург     ,Аргаяшская 10                                     ,3
174,"ООО ""Петрикофф""     ",Волгоград           ,Валдайская 46                                     ,1
185,"ООО ""ИРБИС-ВЕНТ""    ",Иркутск             ,Выборгская 43                                     ,3
195,"ООО ""Абсолют""       ",Омск                ,Грибоедова 34                                     ,1
203,ИП Кахраманов Э.Б.  ,Саратов             ,Евтеева 8                                         ,1
214,Мотэк-99            ,Санкт-Петербург     ,Жуковского 39                                     ,1
224,"ГК ""Эталон""         ",Волгоград           ,Ижевская 19                                       ,1
234,"ООО ""Эльтадор-М""    ",Тюмень              ,Карельская 15                                     ,2
243,"ООО ""Сварожич""      ",Самара              ,Корундовая 7                                      ,3
253,Кварц               ,Саратов             ,Краснооктябрьская 1                               ,2
262,"ООО ""Эльтадор-М""    ",Ярославль           ,Литейная 30                                       ,1
272,"ООО ""Слог""          ",Ростов-на-Дону      ,Майкова 11                                        ,3
282,"ООО ""МТА""           ",Барнаул             ,Морозова 39                                       ,3
291,"ООО ""Самоходов""     ",Екатеринбург        ,Образцова 22                                      ,3
301,e-Volt              ,Красноярск          ,Орловская 49                                      ,2
310,"ООО ""МТА""           ",Иркутск             ,Парковая 34                                       ,1
320,Русинтек            ,Омск                ,Пусковой 46                                       ,2
330,Феникс              ,Тольятти            ,Румянцева 19                                      ,3
340,ИП Карачаров В.В.   ,Новосибирск         ,Севастопольская 33                                ,2
353,"ООО ""ИРБИС-ВЕНТ""    ",Саратов             ,Советская 44                                      ,2
364,"ГК ""Эталон""         ",Санкт-Петербург     ,Телеграфная 44                                    ,3
375,"ООО ""Самоходов""     ",Пермь               ,Труда 1                                           ,3
385,e-Volt              ,Иркутск             ,Украинская 2                                      ,2
394,"ООО ""МТА""           ",Казань              ,Физкультурная 2                                   ,2
404,Русинтек            ,Краснодар           ,Худякова 42                                       ,3
414,Феникс              ,Санкт-Петербург     ,Чарчана 24                                        ,1
424,ИП Карачаров В.В.   ,Волгоград           ,Чоппа 35                                          ,3
434,Синапсис            ,Тюмень              ,Шишкина 11                                        ,1
443,Райдос              ,Самара              ,Энтузиастов 25                                    ,2
453,Мегаком             ,Саратов             ,Ярослава Гашека 50                                ,1
464,"ООО ""ВиК-инжиниринг""",Санкт-Петербург     ,Аносова 49                                        ,2
474,СлавКабель          ,Волгоград           ,Братьев Кашириных 39                              ,3
485,ИП Лебедева И.С.    ,Иркутск             ,Винницкая 26                                      ,3
494,Мотэк-99            ,Казань              ,Героев Танкограда 30                              ,3
497,e-Volt              ,Ростов-на-Дону      ,Гидрострой 49                                     ,1
2,"ООО ""МТА""           ",Воронеж             ,Павелецкая 42                                     ,3
13,Зет-Стоун           ,Москва              ,Первоконная 6                                     ,1
23,Райдос              ,Уфа                 ,Родькина 26                                       ,3
33,Мегаком             ,Ульяновск           ,Светлая 4                                         ,3
43,Янус                ,Самара              ,Сеченова 5                                        ,2
53,ВАЛСИ               ,Саратов             ,Ставропольская 1                                  ,3
62,"ООО ""Петрикофф""     ",Ярославль           ,Тепличная 21                                      ,3
68,Русинтек            ,Самара              ,Транзитная 48                                     ,2
77,e-Volt              ,Воронеж             ,Тургоякская 10                                    ,2
87,Палекс              ,Ярославль           ,Урожайная 20                                      ,1
96,Русинтек            ,Челябинск           ,Харьковская 26                                    ,2
106,Феникс              ,Ижевск              ,Цимлянская 40                                     ,2
115,Палекс              ,Новосибирск         ,Челябэнерго 42                                    ,3
124,Русинтек            ,Волгоград           ,Шахтстроевская 49                                 ,2
133,e-Volt              ,Ульяновск           ,Шлюзовая 40                                       ,3
141,Кварц               ,Екатеринбург        ,Эстонская 2                                       ,3
150,"ООО ""Эльтадор-М""    ",Пермь               ,Ярослава Гашека 22                                ,1
159,"ООО ""Сварожич""      ",Тюмень              ,Ангарская 23                                      ,3
170,"ООО ""МТА""           ",Омск                ,Барбюса 49                                        ,1
181,Зет-Стоун           ,Ижевск              ,Виллинская 1                                      ,3
190,Феникс              ,Новосибирск         ,Генераторный 37                                   ,1
199,Палекс              ,Волгоград           ,Гюго 47                                           ,3
209,Зет-Стоун           ,Тюмень              ,Железнодорожная 13                                ,3
220,Viva                ,Омск                ,Захаренко 36                                      ,2
231,ИП Кахраманов Э.Б.  ,Ижевск              ,Каменогорская 15                                  ,1
241,"ООО ""ИРБИС-ВЕНТ""    ",Екатеринбург        ,Копейское 40                                      ,2
251,"ООО ""Абсолют""       ",Красноярск          ,Краснознаменная 7                                 ,3
261,ИП Лебедева И.С.    ,Владивосток         ,Липецкая 50                                       ,2
271,"ООО ""Сварожич""      ",Челябинск           ,Магнитогорская 35                                 ,2
281,Кварц               ,Ижевск              ,Мопра 37                                          ,2
289,ИП Лебедева И.С.    ,Санкт-Петербург     ,Новоэлеваторная 24                                ,2
299,"ООО ""Сварожич""      ",Волгоград           ,Орджоникидзе 43                                   ,3
309,Кварц               ,Тюмень              ,Парашютная 3                                      ,1
319,"ООО ""Самоходов""     ",Казань              ,Пулковская 50                                     ,1
329,e-Volt              ,Краснодар           ,Ростовская 12                                     ,1
339,Палекс              ,Санкт-Петербург     ,Севанская 27                                      ,3
349,Зет-Стоун           ,Волгоград           ,Слаботочная 42                                    ,3
359,Райдос              ,Тюмень              ,Станиславского 24                                 ,2
369,Мегаком             ,Казань              ,Толстого 33                                       ,3
379,Янус                ,Краснодар           ,Тургенева 1                                       ,2
388,Viva                ,Москва              ,Университетская Набережная 49                     ,3
399,ИП Кахраманов Э.Б.  ,Волгоград           ,Харьковская 12                                    ,2
408,"ООО ""ВиК-инжиниринг""",Ульяновск           ,Центральная 15                                    ,3
419,"ООО ""Абсолют""       ",Казань              ,Черкасская 18                                     ,3
430,"ООО ""Эльтадор-М""    ",Тольятти            ,Шершни 11                                         ,2
440,"ООО ""Слог""          ",Новосибирск         ,Щукина 38                                         ,3
448,"ГК ""Эталон""         ",Уфа                 ,Южноуральская 49                                  ,3
457,ИП Лебедева И.С.    ,Барнаул             ,Автомобильная 40                                  ,1
467,"ООО ""Сварожич""      ",Новгород            ,Аргаяшская 42                                     ,2
477,Кварц               ,Воронеж             ,Валдайская 3                                      ,3
487,"ООО ""Самоходов""     ",Ярославль           ,Восход 37                                         ,2
503,"ООО ""Абсолют""       ",Саратов             ,Долинская 12                                      ,2
514,"ООО ""Эльтадор-М""    ",Санкт-Петербург     ,Жигулевская 11                                    ,3
523,"ООО ""Сварожич""      ",Уфа                 ,Захаренко 40                                      ,3
536,ИП Карачаров В.В.   ,Владивосток         ,Камышовая 45                                      ,1
546,Синапсис            ,Челябинск           ,Корундовая 18                                     ,3
557,ВАЛСИ               ,Барнаул             ,Красносельская 19                                 ,1
569,ИП Лебедева И.С.    ,Казань              ,Луначарского 23                                   ,2
579,"ООО ""Сварожич""      ",Краснодар           ,Марата 44                                         ,1
591,Палекс              ,Екатеринбург        ,Новосельская 10                                   ,1
603,Янус                ,Саратов             ,Оренбургская 46                                   ,3
613,ВАЛСИ               ,Москва              ,Парковая 1                                        ,1
623,ИП Кахраманов Э.Б.  ,Уфа                 ,Пусковой 37                                       ,1
631,Янус                ,Ижевск              ,Российская 29                                     ,3
640,Viva                ,Новосибирск         ,Свободы 2                                         ,3
650,"ООО ""Петрикофф""     ",Пермь               ,Силикатная 26                                     ,3
659,Янус                ,Тюмень              ,Ставропольская 41                                 ,2
670,СлавКабель          ,Омск                ,Титановая 47                                      ,2
682,"ООО ""Эльтадор-М""    ",Барнаул             ,Тургенева 41                                      ,2
692,"ООО ""Слог""          ",Новгород            ,Уральская 3                                       ,2
703,Палекс              ,Саратов             ,Химфармзавод 1                                    ,3
712,Русинтек            ,Ярославль           ,Цимлянская 36                                     ,2
724,Viva                ,Волгоград           ,Чехова 15                                         ,2
734,"ООО ""Петрикофф""     ",Тюмень              ,Шестая 47                                         ,2
744,"ООО ""ВиК-инжиниринг""",Казань              ,Энгельса 24                                       ,1
752,Viva                ,Воронеж             ,Юргинская 39                                      ,3
760,ИП Карачаров В.В.   ,Иркутск             ,Автомобильная 6                                   ,2
769,Зет-Стоун           ,Казань              ,Аральская 41                                      ,2
778,Феникс              ,Саратов             ,Брянская 25                                       ,3
786,"ООО ""МТА""           ",Владивосток         ,Вахтангова 22                                     ,1
797,Зет-Стоун           ,Ростов-на-Дону      ,Героев Танкограда 43                              ,1
807,Райдос              ,Барнаул             ,Достоевского 3                                    ,2
819,ИП Кахраманов Э.Б.  ,Казань              ,Жукова 3                                          ,1
828,"ООО ""ВиК-инжиниринг""",Саратов             ,Знаменская 39                                     ,3
838,СлавКабель          ,Москва              ,Каменская 40                                      ,2
849,ИП Лебедева И.С.    ,Волгоград           ,Корундовая 8                                      ,3
860,"ООО ""Слог""          ",Иркутск             ,Красносельская 34                                 ,2
871,Палекс              ,Челябинск           ,Луганская 40                                      ,2
880,Русинтек            ,Тольятти            ,Малиновая 38                                      ,2
888,"ООО ""Слог""          ",Москва              ,Морозова 7                                        ,3
898,"ООО ""МТА""           ",Уфа                 ,Обская 11                                         ,3
907,"ООО ""Самоходов""     ",Барнаул             ,Орловская 12                                      ,3
922,СлавКабель          ,Ростов-на-Дону      ,Первоконная 12                                    ,3
933,ИП Лебедева И.С.    ,Ульяновск           ,Рождественского 13                                ,2
942,Мотэк-99            ,Новгород            ,Светлая 21                                        ,1
951,"ООО ""Абсолют""       ",Красноярск          ,Серпуховская 17                                   ,1
963,"ООО ""Самоходов""     ",Москва              ,Сталеваров 21                                     ,2
969,"ООО ""ИРБИС-ВЕНТ""    ",Казань              ,Телевизионная 29                                  ,1
978,СлавКабель          ,Саратов             ,Троицкая 22                                       ,2
986,"ООО ""Петрикофф""     ",Владивосток         ,Тургоякская 27                                    ,2
