"SPID","Quantity","Price","ShipDate","PID","SID"
116,64,323.63,2014-07-11,787,416
118,404,470.62,2013-03-22,491,1054
117,542,147.37,2012-05-26,1074,697
120,602,206.1,2013-04-22,856,374
121,356,294.71,2012-10-18,269,443
122,18,401.39,2012-06-11,579,399
119,61,259.4,2013-10-24,935,126
124,122,327.9,2012-04-23,8,271
125,13,420.88,2014-11-07,99,882
123,6,39.98,2013-01-10,391,637
128,1,267.57,2014-04-24,487,602
126,10,311.77,2012-01-13,814,470
127,68,142.02,2012-09-15,543,399
129,330,480.53,2014-08-19,41,300
130,11,74.87,2015-02-02,1151,602
132,45,375.07,2014-07-08,485,258
131,39,68.23,2013-05-09,1045,1040
136,586,286.55,2012-05-12,426,275
135,536,107.74,2013-01-14,1101,856
137,248,27.69,2014-10-29,285,778
140,558,397.88,2012-06-12,282,625
147,537,332.82,2013-03-18,580,887
157,61,307.24,2014-04-02,677,450
167,37,491.75,2013-10-26,819,1100
175,577,264.93,2013-03-13,1145,963
185,287,221.81,2014-06-28,74,1034
196,287,65.53,2015-01-29,379,15
207,310,335.33,2013-03-21,188,558
217,158,95.89,2013-03-06,705,662
227,5,100.65,2012-10-04,903,1085
236,69,115.76,2012-01-25,259,93
248,1,19.84,2012-08-21,1102,1182
256,504,482.64,2014-05-01,1092,851
267,59,31.54,2013-01-04,551,315
278,57,80.85,2013-11-27,1027,555
287,328,360.1,2012-03-06,488,1118
296,498,492.24,2013-06-21,737,352
306,480,266.68,2014-11-28,347,602
315,345,390.57,2012-05-26,330,729
325,286,382.37,2014-04-20,1101,218
334,35,220.45,2012-01-18,117,658
343,54,37.35,2013-02-02,37,1035
354,35,12.18,2012-06-29,311,38
364,61,159.71,2012-12-09,567,1145
375,29,21.81,2014-08-06,572,691
385,314,341.65,2014-06-17,914,214
392,12,80.6,2012-04-02,1043,230
401,231,366.25,2014-12-14,267,163
409,26,278.89,2015-01-19,902,854
416,66,411.56,2013-12-16,944,386
424,45,294.58,2012-08-24,805,1052
434,26,381.66,2012-04-30,999,626
444,128,194.38,2013-03-24,939,654
454,345,340.67,2013-06-10,906,649
462,23,247.64,2013-08-04,870,821
470,304,168.62,2014-08-05,556,118
483,264,354.96,2013-10-23,537,871
493,446,318.3,2013-11-17,860,155
503,484,274.81,2012-08-14,584,719
513,269,89.16,2012-10-16,1073,579
523,60,117.35,2015-01-06,67,985
533,669,491.36,2014-12-01,20,624
542,10,216.16,2013-09-04,307,567
554,384,209.06,2013-06-21,634,1069
557,18,93.87,2014-11-14,610,1116
567,203,49.85,2012-12-22,586,201
576,54,13.02,2012-04-27,1102,350
586,39,126.56,2013-01-03,462,923
596,8,410.65,2014-06-27,255,466
605,11,152.83,2013-10-02,1046,754
615,30,209.03,2013-04-15,462,195
626,573,478.35,2012-03-12,602,578
636,49,122.12,2013-12-26,83,1096
643,334,137.23,2013-04-19,859,784
653,37,277.97,2012-06-16,631,1148
665,691,346.38,2013-04-24,914,241
674,367,227.89,2014-08-12,827,524
682,5,493.91,2013-02-21,1054,1018
691,177,19.89,2013-01-31,699,104
702,306,364.88,2014-02-05,1130,909
713,298,274.71,2012-03-20,1080,1166
724,48,403.13,2013-09-30,342,1007
734,56,164.23,2013-12-07,1132,1085
744,657,402.93,2012-12-18,873,570
752,548,123.32,2014-03-09,521,369
764,293,319.35,2014-01-14,417,473
775,19,443.34,2013-09-05,1125,1136
789,373,112.62,2013-08-23,1161,503
798,53,346.93,2012-12-03,1024,898
809,550,479.87,2013-11-19,1169,611
820,52,267.56,2013-07-25,275,185
831,186,178.71,2012-01-25,491,379
842,14,41.08,2014-01-30,598,386
851,33,24.19,2012-01-23,983,579
860,560,375.57,2014-11-08,338,716
868,541,232.01,2012-09-29,683,268
881,413,419.83,2014-05-04,937,833
891,599,410.64,2014-06-07,100,882
901,219,411.97,2014-03-04,1124,630
909,62,179.36,2013-04-28,640,878
922,42,372.32,2014-12-14,798,451
932,53,208.75,2012-05-29,175,362
942,363,468.32,2012-12-31,305,534
953,23,101.82,2013-09-22,1198,1033
959,664,26.74,2012-06-19,866,606
973,305,344.78,2015-01-01,522,1087
982,76,250.24,2014-03-23,145,457
991,7,261.63,2014-03-01,407,846
1003,2,290.2,2012-03-30,371,879
1013,345,321.63,2013-09-07,993,412
1023,43,300.62,2012-01-23,686,589
1033,40,278.18,2013-07-28,117,156
1042,496,115.64,2014-01-20,42,690
1053,237,39.59,2012-10-24,497,430
1064,555,44.67,2014-09-24,108,692
1072,11,153.03,2014-07-20,53,80
1083,200,460.84,2014-01-14,76,344
1092,454,388.78,2012-12-06,233,20
1103,13,389.89,2012-10-11,246,922
1112,349,475,2013-03-22,521,282
1122,669,372.32,2013-01-18,760,187
1132,21,477.4,2013-07-04,991,285
1148,57,157.22,2014-09-23,853,507
1158,254,31.21,2013-09-11,1051,791
1168,90,371.94,2014-01-08,763,1084
1178,31,335.67,2012-01-06,819,1020
1188,47,39.21,2012-01-16,694,780
1195,6,351.95,2013-10-15,515,534
1204,12,122.28,2012-12-14,1123,1165
1213,54,30.2,2014-11-19,494,417
1225,468,485.78,2012-10-06,468,20
1234,13,319.35,2014-07-03,899,1020
1244,517,428,2013-09-06,148,510
1254,25,229.11,2013-06-08,816,457
1263,365,357.46,2013-03-30,953,966
1274,99,79.69,2013-04-24,676,838
1284,213,183.17,2013-07-22,987,859
1291,53,318.09,2012-12-06,127,485
1298,46,214.16,2014-08-05,1189,33
1308,347,496.22,2014-09-12,554,308
1319,8,251.78,2013-11-16,558,481
1333,14,345.44,2014-10-06,702,563
1341,59,348.06,2014-05-04,819,848
1351,42,383.16,2013-03-26,1095,1162
1362,147,30.45,2014-02-23,477,738
1372,32,454.34,2013-06-18,1078,5
1382,197,457.92,2013-08-20,173,1179
1391,515,100.36,2012-03-08,523,429
1402,20,487.12,2013-09-06,495,349
1412,304,420.08,2012-09-02,284,730
1423,296,434.76,2012-11-05,52,1025
1445,13,208.42,2014-04-08,382,787
1452,468,296.83,2012-03-12,857,1186
1464,13,335.9,2013-01-30,870,686
141,7,477.36,2012-12-19,1183,251
148,352,250.69,2012-09-26,804,809
158,68,199.31,2013-10-28,901,38
168,141,176.6,2013-06-29,218,7
178,36,190.98,2013-02-09,435,483
188,312,431.84,2015-01-25,1138,579
197,28,130.4,2014-04-10,726,1079
205,48,411.61,2013-07-23,1102,958
215,99,280.75,2014-06-05,445,861
223,143,306.9,2012-11-08,891,267
234,7,48.07,2015-01-07,1046,948
241,261,405.62,2012-01-29,153,173
253,330,250.55,2012-04-09,322,805
265,23,107.21,2013-08-11,976,986
273,641,196.6,2012-08-29,340,430
283,42,75.34,2012-02-05,128,922
292,576,495.46,2015-01-28,220,562
304,371,448.7,2014-12-02,553,1050
314,59,149.45,2014-11-17,390,193
324,20,150.3,2013-06-14,186,230
336,97,461.99,2014-09-29,649,387
348,605,374.69,2013-04-28,154,898
359,297,62.16,2013-09-25,876,398
368,56,387.58,2015-01-02,167,445
377,68,97.78,2012-02-03,390,507
386,685,161.78,2013-10-29,493,391
399,11,121.72,2013-12-08,256,117
411,49,49.34,2015-01-12,519,1122
420,52,367.36,2012-08-06,1094,173
428,56,391.09,2012-10-24,272,675
437,550,433.05,2012-04-17,796,684
449,36,80.49,2014-11-26,99,1191
458,38,355.16,2013-09-16,441,158
468,489,339.22,2012-12-10,993,1180
479,39,422.37,2012-04-02,373,668
489,37,64.29,2014-12-29,919,1068
496,2,311.95,2013-04-12,191,1170
507,53,175.24,2014-10-22,419,290
518,69,343.38,2014-11-10,1123,69
527,674,465.07,2015-01-14,113,613
537,12,401.6,2013-10-06,398,552
547,62,332.25,2014-11-02,534,1138
559,23,405.27,2012-02-10,166,192
568,31,28.32,2012-10-04,271,385
582,522,112.44,2012-05-19,443,354
589,24,131.23,2012-09-19,451,848
599,173,171.86,2013-07-26,140,353
608,430,229.07,2014-01-29,235,557
618,43,74.73,2014-10-05,1102,294
627,54,348.27,2012-04-03,566,1171
638,156,476.39,2014-02-13,196,130
647,56,206.63,2014-09-29,334,1118
658,34,199.5,2014-10-12,583,871
663,30,321.41,2014-04-07,942,476
676,612,90.73,2012-10-05,234,746
687,443,339.9,2013-05-31,872,296
699,56,257.58,2012-08-31,464,260
709,615,271.18,2014-05-06,394,1106
719,168,436.59,2013-05-18,408,506
728,420,485.37,2014-09-16,699,671
738,269,207.39,2014-07-15,940,719
748,27,416.91,2012-05-01,71,848
759,230,95.59,2013-07-30,667,1198
767,581,372.9,2013-04-05,808,730
778,76,326.58,2014-09-16,961,1144
787,628,251.68,2013-08-06,923,1114
796,641,141.88,2013-01-04,810,8
804,418,185.33,2013-08-10,251,627
814,45,117.74,2012-11-02,243,679
824,412,366.44,2013-12-04,715,324
834,624,14.5,2014-02-10,17,12
845,531,482.56,2012-04-05,786,319
856,599,184.7,2012-03-18,91,795
865,28,289.61,2012-02-01,579,244
875,477,496.82,2012-01-16,939,1187
884,17,469.36,2012-04-12,640,977
894,97,439.82,2013-02-10,1192,232
912,655,261.65,2013-04-02,42,1066
923,214,142.57,2014-05-24,940,811
934,3,392.43,2014-10-04,912,54
945,64,481.1,2013-08-18,1157,68
964,261,418.91,2014-01-07,141,255
974,350,279.39,2012-01-11,130,13
983,16,47.99,2013-12-16,531,270
992,39,91.23,2014-03-17,558,432
1001,372,135.25,2013-09-01,44,481
1011,40,429.47,2012-06-03,638,1110
1029,244,477.13,2012-12-13,338,471
1037,392,309.9,2013-06-28,1058,1044
1049,212,261.7,2014-12-09,724,854
1059,46,148.54,2013-11-06,163,752
1070,125,263.94,2012-11-12,602,474
1082,47,158.49,2014-01-03,310,622
1094,31,38.75,2014-08-16,389,1072
1105,66,470.37,2012-12-12,1179,433
1114,634,425.7,2013-08-05,456,211
1124,357,432.58,2012-09-20,139,867
1134,591,215.85,2013-09-05,409,881
1145,60,321.14,2012-07-28,1148,276
1154,177,266.18,2014-09-22,427,428
1163,164,279.74,2013-09-16,1009,1095
1173,38,162.47,2014-09-18,774,284
1191,602,269.88,2013-11-30,617,520
1210,362,396.51,2014-10-24,404,1049
1220,490,386.21,2013-06-17,957,521
1227,554,164.82,2013-04-25,873,687
1236,266,204.87,2013-12-14,1146,162
1245,9,375.47,2012-05-16,895,1187
1255,607,435.45,2014-02-16,553,743
1265,47,233.18,2013-06-17,530,818
1275,560,283.64,2012-12-03,971,978
1285,65,172.5,2013-08-07,883,86
1295,2,177.34,2014-01-30,310,294
1304,358,165.3,2012-09-05,578,95
1316,83,80.63,2012-09-18,890,199
1327,621,417.48,2012-03-12,922,783
1335,184,193.36,2013-02-13,457,668
1344,66,37.22,2013-12-25,675,448
1353,200,373.27,2013-11-11,1064,237
1364,3,448.45,2012-12-01,899,969
1373,196,85.8,2014-01-22,306,1134
1385,300,286.88,2013-10-24,986,606
1393,6,295.87,2013-06-23,533,712
1405,578,244.01,2014-04-14,603,1132
1417,210,89.46,2012-02-28,457,533
1424,37,402.58,2014-01-07,863,1065
1436,67,319.75,2014-09-24,735,683
1446,213,193.29,2014-04-04,732,176
1456,330,468.4,2013-03-11,363,162
1466,12,451.94,2013-02-27,734,797
1476,50,120.7,2015-01-07,1122,3
1487,662,53.17,2013-05-17,571,435
143,70,102.3,2012-10-04,55,71
149,50,343.46,2013-04-08,1198,958
159,662,324,2013-04-29,970,823
169,94,484.11,2014-01-31,89,686
180,290,55.14,2012-03-11,333,1098
190,65,430.77,2014-05-21,40,1069
200,610,427.19,2012-04-02,188,455
214,36,382.09,2012-01-19,1063,562
225,60,53.54,2013-02-09,926,196
235,351,370.09,2013-11-29,123,1054
245,8,383.65,2012-09-25,798,213
252,643,108.95,2013-04-03,1115,1069
268,171,350.23,2014-04-10,40,637
277,3,224.67,2014-06-23,1103,601
290,50,96.83,2013-07-22,939,766
299,175,69.47,2013-07-15,265,636
310,88,358.89,2013-10-24,274,131
322,185,282.43,2013-08-19,1147,648
330,541,359.83,2012-03-02,337,619
340,543,348.19,2013-04-27,596,699
350,335,399.62,2014-08-14,961,864
360,50,229.38,2014-02-23,486,541
370,47,327.41,2012-05-20,16,875
379,58,123.14,2013-10-18,1173,389
388,513,460.87,2012-05-01,444,357
397,89,141.66,2013-02-13,124,197
406,640,411.3,2013-10-01,932,236
417,581,414.62,2014-09-27,1058,796
425,13,38.51,2013-02-15,736,934
438,209,13.92,2013-02-11,476,135
448,45,314.03,2014-03-10,67,1019
456,231,307.31,2013-02-09,570,85
466,504,313.98,2012-04-19,386,475
476,428,402.89,2013-10-07,184,515
486,69,331.67,2012-12-18,403,53
497,71,69.31,2013-10-08,936,181
506,68,404.64,2014-10-07,879,1151
516,67,382.96,2013-05-19,406,831
525,41,351.15,2012-04-03,803,851
546,22,111.7,2012-03-03,1059,624
556,96,348.08,2012-08-01,617,375
570,369,115.89,2014-06-23,856,751
580,21,316.15,2013-05-10,231,249
593,680,205.01,2014-10-15,516,341
603,7,289.1,2012-08-24,764,930
612,335,132.86,2013-11-26,681,259
621,448,459.55,2013-07-06,1172,896
631,653,312.64,2013-08-08,18,168
642,64,428.43,2014-11-23,1070,400
652,62,388.37,2013-02-23,374,335
662,18,390.42,2013-01-19,909,641
672,382,285.34,2015-02-02,619,196
686,670,350.38,2013-09-16,1165,66
697,6,280.61,2012-09-07,158,486
707,55,390.04,2012-08-14,263,966
718,519,423.87,2014-06-07,589,515
729,23,496.75,2014-06-08,1198,1133
739,61,128.94,2012-11-07,775,777
749,65,110,2013-07-30,979,521
757,20,328.17,2014-01-27,838,1129
769,58,153,2012-04-16,631,65
777,70,315.62,2014-10-18,1134,704
788,348,488.22,2014-01-20,1113,159
799,39,421.67,2013-12-12,277,633
811,176,269.59,2014-07-10,776,1098
819,663,152.23,2014-11-19,971,1040
829,276,139.81,2014-11-04,699,180
841,62,70.08,2013-05-06,1187,451
852,325,486.8,2013-06-05,345,362
863,109,242.75,2012-08-24,1160,141
874,64,419.04,2012-12-18,432,849
886,3,259.51,2014-11-09,128,366
898,608,218.95,2013-09-12,744,784
907,1,458.67,2014-01-08,656,123
918,96,400.82,2012-04-23,107,1056
931,102,163.44,2014-09-06,1128,180
941,91,38.93,2013-08-03,860,597
949,92,122.5,2014-09-15,353,1135
962,455,322.2,2013-05-06,161,817
970,13,300.17,2014-08-15,133,912
979,451,110.22,2012-06-10,699,65
988,48,216.39,2013-08-31,327,460
997,242,191.33,2012-06-17,925,204
1007,265,258.37,2012-07-01,497,66
1018,184,441.89,2012-08-10,730,626
1025,61,349.4,2014-04-19,542,459
1035,58,78,2014-11-26,656,936
1044,49,206.8,2013-12-24,80,827
1054,369,317.93,2014-03-01,1186,320
1062,51,466.51,2013-02-09,759,212
1073,25,364.75,2013-03-01,782,825
1081,51,233.22,2013-03-04,191,827
1090,236,372.77,2012-09-01,552,926
1100,84,159.39,2014-05-25,17,898
1107,119,353.01,2014-10-13,572,1189
1117,39,33.87,2014-09-07,870,483
1126,420,338.55,2014-01-02,354,653
1136,321,124.89,2013-05-04,1179,687
1146,541,193.62,2014-04-20,91,1181
1156,263,249.15,2013-08-08,251,789
1166,374,190.76,2014-08-23,420,416
1176,67,174.18,2014-11-05,967,290
1186,6,271.7,2013-04-24,169,794
1197,447,372.65,2014-08-31,381,626
1206,278,466.22,2013-07-23,1101,517
1217,643,205.73,2013-07-10,66,1063
1224,421,193.7,2013-04-03,299,342
1235,41,30.22,2014-02-02,974,181
1246,51,354.34,2013-12-16,1167,472
1256,8,252.33,2015-01-03,69,588
1266,473,26.81,2013-11-17,162,483
1276,57,76.58,2012-09-24,807,778
1286,517,335.37,2012-07-26,941,95
1296,644,44.57,2013-12-27,557,512
1312,24,384.39,2014-10-17,1029,94
1322,34,339.95,2012-07-13,558,1184
1332,636,179.36,2013-12-13,184,968
1343,3,322.68,2014-03-04,294,1160
1349,373,220.8,2013-12-12,347,658
1360,537,30.44,2014-01-20,282,936
1371,19,458.29,2014-08-20,1141,337
1380,50,250.79,2013-12-21,144,374
1390,669,188,2012-06-29,1108,903
1400,342,166.99,2014-11-27,523,980
1409,148,383.11,2014-05-14,154,254
1419,400,29.5,2014-04-16,233,684
1428,337,19.12,2013-08-15,476,90
1437,42,139.4,2013-03-24,1095,844
1453,218,463.41,2013-08-30,923,1074
1463,250,198.37,2014-12-26,596,710
1473,49,311.5,2013-08-24,99,756
1483,69,243.61,2013-06-25,486,894
1496,210,361.9,2014-03-12,370,468
1505,45,206.84,2012-01-02,323,103
142,555,279.01,2013-02-20,1019,9
150,22,235.2,2014-07-22,979,770
177,322,491.64,2014-05-11,603,22
186,57,206.46,2013-03-16,1091,350
194,568,285.75,2013-08-10,696,1173
206,48,230.5,2013-12-05,278,299
216,52,415.01,2013-08-09,31,169
226,70,168.76,2014-02-01,627,21
237,59,314.75,2013-08-06,992,173
247,47,21.08,2012-09-20,1027,544
258,67,329.68,2013-02-04,511,42
262,41,424.33,2012-02-02,985,882
276,476,217,2012-01-02,809,1173
284,490,430.77,2014-12-25,1066,550
294,28,103.53,2013-07-18,181,333
302,29,307.35,2014-03-12,1175,799
312,582,412.46,2012-12-06,36,856
321,39,287.39,2012-12-03,583,47
332,64,153.87,2013-07-21,784,971
342,654,180.37,2013-06-26,75,717
353,568,154.07,2014-05-14,1163,1152
363,203,81.69,2012-12-05,289,689
372,46,147.63,2014-03-23,326,827
382,265,251.33,2013-02-26,4,431
404,277,69,2014-10-02,820,786
414,17,393.57,2015-01-08,1120,536
427,223,437.48,2014-09-15,225,687
435,39,42.94,2012-09-18,128,232
445,477,324.46,2012-02-02,296,547
455,69,282.27,2013-03-29,355,470
464,104,475.37,2013-10-16,449,937
474,63,58.63,2015-02-02,1198,1186
484,48,200.32,2014-12-01,886,950
494,632,454.2,2014-06-01,955,268
504,8,45.74,2014-04-17,357,425
512,60,221.34,2012-06-24,1075,815
522,15,310.2,2014-07-02,103,183
529,509,249.96,2012-03-04,216,1142
538,293,343.98,2015-01-04,1065,1081
548,167,336.58,2012-04-01,252,987
558,612,384.09,2014-01-12,844,907
566,585,142.17,2013-06-23,498,639
577,203,181.86,2013-05-29,1050,697
592,6,488.06,2014-05-25,367,802
610,35,239.89,2012-11-30,62,632
622,609,259.18,2013-02-10,472,964
632,12,239.16,2014-06-28,1125,682
641,443,239.29,2012-10-14,843,1022
649,28,258.04,2014-09-19,253,303
659,601,76.44,2012-05-30,1041,1044
669,668,358.41,2012-04-05,1005,934
679,27,411.33,2013-10-22,22,1128
685,5,421.52,2012-05-14,558,437
693,33,122.22,2012-07-23,384,353
703,684,376.13,2014-10-10,1019,1085
717,582,396.35,2013-04-09,364,746
726,61,246.06,2013-06-18,918,783
737,13,124.32,2014-11-07,485,527
747,254,490.44,2012-12-23,722,929
760,635,92.53,2014-08-15,52,556
768,16,404.49,2014-10-23,55,603
779,30,290.89,2013-09-16,1100,845
786,68,449.71,2013-11-15,31,422
794,43,36.84,2013-06-18,917,229
806,662,381.22,2013-12-13,577,748
817,43,300.56,2013-12-21,646,1008
827,152,449.43,2012-06-05,555,199
837,419,56.07,2013-11-07,264,1007
846,80,349.29,2014-06-30,987,1122
857,54,465.94,2012-10-03,1013,935
867,194,159.13,2013-12-26,937,917
879,40,274.39,2013-02-16,677,326
889,89,377.4,2014-06-30,1113,401
899,417,409.7,2014-05-22,204,502
908,172,448.1,2012-08-14,362,843
917,11,259.01,2014-10-03,1023,1048
927,32,52.59,2014-08-03,147,1011
936,253,314.2,2012-11-27,969,433
17020,46,341.94,2013-03-16,2334,2219
956,269,249.25,2014-03-22,299,217
966,49,420.45,2012-09-20,389,1077
976,70,489.58,2012-04-04,243,680
986,398,278.57,2014-10-30,82,975
998,501,105.18,2012-06-25,1193,149
1006,276,144.11,2012-09-15,884,617
1016,59,124.08,2013-08-26,1168,572
1028,31,86.38,2014-05-02,71,996
1040,67,316.24,2015-01-30,78,1147
1048,597,61.39,2013-03-10,929,345
1060,56,190.38,2013-04-18,167,242
1069,61,365.09,2014-11-25,94,497
1079,51,169,2012-02-22,741,249
1089,283,271.64,2014-02-10,564,979
1099,390,451.65,2013-12-16,586,86
1110,660,322.8,2013-08-10,685,1112
1120,2,269.52,2012-07-01,423,188
1131,56,160.35,2012-06-15,784,988
1141,213,357.56,2013-07-04,708,797
1152,43,427.82,2013-06-03,367,429
1161,613,96.4,2014-05-15,760,569
1174,183,428.34,2012-07-26,285,981
1180,34,342.91,2012-09-22,247,976
1190,387,312.37,2014-05-16,233,742
1202,664,420.32,2013-10-12,939,451
1214,39,328.95,2014-10-09,515,569
1223,339,110.5,2013-05-18,340,239
1233,507,13.63,2013-03-08,1002,43
1243,514,473.13,2014-03-06,152,552
1252,68,233.2,2014-05-21,657,286
1261,64,160.84,2012-06-19,270,815
1273,91,381.85,2012-03-13,75,71
1281,52,65.48,2012-11-25,859,820
1292,590,424.83,2012-06-04,13,1019
1305,580,26.57,2012-11-07,988,1113
1314,237,88.32,2014-09-25,733,198
1321,413,225.16,2012-08-16,993,961
1340,72,30.64,2013-04-14,1145,1063
1350,4,84.25,2013-10-08,758,1183
1359,8,225.53,2012-09-07,990,672
1369,555,407.87,2014-11-12,1144,336
1381,13,414.17,2012-04-21,1141,1112
1392,67,123.54,2014-06-23,3,779
1401,34,81.5,2012-08-02,1103,701
1410,67,143.59,2013-07-05,835,262
1420,3,474.93,2014-06-25,304,1164
1429,235,475.69,2012-07-17,860,821
1438,216,322.61,2012-07-24,185,959
1448,65,31.48,2013-09-01,1029,1072
1458,59,89.13,2014-07-19,432,946
1470,29,324.85,2013-11-23,238,1186
1480,25,137.17,2012-01-18,774,546
1491,374,302.05,2014-05-08,445,1005
1504,161,351.37,2012-11-11,203,1151
144,36,234.99,2014-01-30,223,126
156,17,161.43,2012-02-16,1103,51
164,531,476.43,2013-10-09,1001,199
174,469,60.43,2013-04-19,1018,1101
187,418,356.83,2013-03-25,649,296
198,70,275.83,2013-03-10,627,924
209,112,281.93,2014-04-26,621,912
218,499,369.01,2014-01-10,425,363
228,605,263.15,2013-10-15,184,1113
239,339,214.89,2012-03-09,338,513
249,8,234.75,2013-06-26,382,513
260,38,368.46,2014-02-09,64,196
270,27,493.45,2012-05-11,554,546
288,45,415.73,2012-07-17,174,250
298,558,261.97,2014-05-03,1193,570
309,550,485.06,2012-06-23,1019,23
317,67,170.36,2014-01-08,591,977
327,167,361.04,2013-08-24,164,951
338,564,465.6,2012-05-22,530,391
346,68,342.18,2014-05-22,414,851
356,24,387.52,2014-09-20,374,17
366,451,426.72,2012-03-06,1179,1017
380,558,217.98,2012-10-27,1002,525
390,40,244.92,2013-10-24,816,194
402,77,52.41,2013-01-16,1052,359
413,228,348.79,2013-03-09,116,1065
423,20,429.99,2014-03-09,693,484
433,4,410.7,2013-04-19,527,984
443,4,64.48,2013-06-23,912,218
453,647,358.3,2014-06-11,468,284
465,413,98.56,2012-09-09,290,485
475,20,192.05,2013-08-26,263,56
485,415,385.6,2012-01-19,25,413
495,309,365.99,2012-03-17,667,1191
505,31,230.49,2013-09-01,831,150
514,5,291.73,2014-09-09,917,141
524,617,258.52,2014-04-24,825,632
534,20,220.97,2012-10-20,646,1082
543,437,408.48,2012-03-03,74,199
553,39,210.47,2014-11-08,387,965
561,668,179.6,2014-01-13,765,315
572,462,307,2012-10-18,161,464
585,3,422.9,2013-07-31,1124,186
594,445,199.48,2013-08-18,193,669
